version,downloadUrl,checksum,wrapperChecksum,gradlew,gradlewBat
8.0-milestone-2,https://services.gradle.org/distributions/gradle-8.0-milestone-2-bin.zip,7fe8e8147543e80b4e1a11dfaf819d80d5bd32d1d922b11944e768a15c7c6a7b,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,7545ee5b,2b81bfec
8.0-milestone-3,https://services.gradle.org/distributions/gradle-8.0-milestone-3-bin.zip,ad9460264653b6ed16cc8aebf9ee4dc12d1a301351323233eb905fce5d522ab4,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,7545ee5b,2b81bfec
8.0-milestone-4,https://services.gradle.org/distributions/gradle-8.0-milestone-4-bin.zip,8ecb39c34977c75381299045cb238f6e4d3368e67b7221fcd9ac34ad344e4b63,577b2de036000db2e0f04f2ec842a4f1e648c8b6f9c87f29a8d896acb1732538,7545ee5b,2b81bfec
8.0-milestone-5,https://services.gradle.org/distributions/gradle-8.0-milestone-5-bin.zip,0288540bc5ad21c4c921743464da8b7c8c8403750ddb20d050dc088282814664,91941f522fbfd4431cf57e445fc3d5200c85f957bda2de5251353cf11174f4b5,7545ee5b,2b81bfec
8.0-milestone-6,https://services.gradle.org/distributions/gradle-8.0-milestone-6-bin.zip,5db785194950909ded9d2bcad3cd6874e7578bc93c11bf1aaa2d3e89aa8c9deb,91941f522fbfd4431cf57e445fc3d5200c85f957bda2de5251353cf11174f4b5,7545ee5b,2b81bfec
7.6.6,https://services.gradle.org/distributions/gradle-7.6.6-bin.zip,673d9776f303bc7048fc3329d232d6ebf1051b07893bd9d11616fad9a8673be0,14dfa961b6704bb3decdea06502781edaa796a82e6da41cd2e1962b14fbe21a3,5760ee9b,2b81bfec
7.6.5,https://services.gradle.org/distributions/gradle-7.6.5-bin.zip,b812fec0edb7d27e0ae35955887bb2954536fa3e44edaf481150da058e154d9a,14dfa961b6704bb3decdea06502781edaa796a82e6da41cd2e1962b14fbe21a3,5760ee9b,2b81bfec
7.6.4,https://services.gradle.org/distributions/gradle-7.6.4-bin.zip,bed1da33cca0f557ab13691c77f38bb67388119e4794d113e051039b80af9bb1,14dfa961b6704bb3decdea06502781edaa796a82e6da41cd2e1962b14fbe21a3,5760ee9b,2b81bfec
7.6.3,https://services.gradle.org/distributions/gradle-7.6.3-bin.zip,740c2e472ee4326c33bf75a5c9f5cd1e69ecf3f9b580f6e236c86d1f3d98cfac,14dfa961b6704bb3decdea06502781edaa796a82e6da41cd2e1962b14fbe21a3,5760ee9b,2b81bfec
7.6.2,https://services.gradle.org/distributions/gradle-7.6.2-bin.zip,a01b6587e15fe7ed120a0ee299c25982a1eee045abd6a9dd5e216b2f628ef9ac,14dfa961b6704bb3decdea06502781edaa796a82e6da41cd2e1962b14fbe21a3,5760ee9b,2b81bfec
7.6.1,https://services.gradle.org/distributions/gradle-7.6.1-bin.zip,6147605a23b4eff6c334927a86ff3508cb5d6722cd624c97ded4c2e8640f1f87,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.6,https://services.gradle.org/distributions/gradle-7.6-bin.zip,7ba68c54029790ab444b39d7e293d3236b2632631fb5f2e012bb28b4ff669e4b,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.6-rc-2,https://services.gradle.org/distributions/gradle-7.6-rc-2-bin.zip,1a0c892659d3eec2a33ab23857784ee3c9674b681cab068f67780da412d3f61f,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.6-rc-3,https://services.gradle.org/distributions/gradle-7.6-rc-1-bin.zip,458550f35b74ad9fbbdf3a1eb69c3f4faef7944cffa3d7fb91b46327875b0b17,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.6-rc-4,https://services.gradle.org/distributions/gradle-7.6-rc-4-bin.zip,eb93e4f8abf8db59d5bd1bbdd716f971d010bfc82fd01fe46905d499305718a0,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.6-rc-1,https://services.gradle.org/distributions/gradle-7.6-rc-1-bin.zip,458550f35b74ad9fbbdf3a1eb69c3f4faef7944cffa3d7fb91b46327875b0b17,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.6-milestone-1,https://services.gradle.org/distributions/gradle-7.6-milestone-1-bin.zip,9ca7bc6d09c52b365cc61f4ef9e0410f79f6122bc126786c76847b987a4b7cbe,c5a643cf80162e665cc228f7b16f343fef868e47d3a4836f62e18b7e17ac018a,5760ee9b,2b81bfec
7.5.1,https://services.gradle.org/distributions/gradle-7.5.1-bin.zip,f6b8596b10cce501591e92f229816aa4046424f3b24d771751b06779d58c8ec4,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.5,https://services.gradle.org/distributions/gradle-7.5-bin.zip,cb87f222c5585bd46838ad4db78463a5c5f3d336e5e2b98dc7c0c586527351c2,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.5-rc-5,https://services.gradle.org/distributions/gradle-7.5-rc-1-bin.zip,8ba57a37e1e0b8c415e4d91718d51035223aa73131cf719a50c95a2a88269eb2,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.5-rc-4,https://services.gradle.org/distributions/gradle-7.5-rc-4-bin.zip,d98c4322d882e7b115fbf2a33ccd3e03677653b88c4f245e33cbea28b531a173,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.5-rc-3,https://services.gradle.org/distributions/gradle-7.5-rc-3-bin.zip,d10d8e6206d613313379834f3ed94ec7b781790f22edd44b0f2afa76708e2050,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.5-rc-2,https://services.gradle.org/distributions/gradle-7.5-rc-2-bin.zip,ba761aa1563f5d893d1a6e7ddca48bbdc4385fdd527974e6472b873b7eae9a32,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.5-rc-1,https://services.gradle.org/distributions/gradle-7.5-rc-1-bin.zip,8ba57a37e1e0b8c415e4d91718d51035223aa73131cf719a50c95a2a88269eb2,91a239400bb638f36a1795d8fdf7939d532cdc7d794d1119b7261aac158b1e60,8e0d96aa,8b23b568
7.4.2,https://services.gradle.org/distributions/gradle-7.4.2-bin.zip,29e49b10984e585d8118b7d0bc452f944e386458df27371b49b4ac1dec4b7fda,575098db54a998ff1c6770b352c3b16766c09848bee7555dab09afc34e8cf590,f27d7133,4c6b9dc9
7.4.1,https://services.gradle.org/distributions/gradle-7.4.1-bin.zip,e5444a57cda4a95f90b0c9446a9e1b47d3d7f69057765bfb54bd4f482542d548,575098db54a998ff1c6770b352c3b16766c09848bee7555dab09afc34e8cf590,f27d7133,4c6b9dc9
7.4,https://services.gradle.org/distributions/gradle-7.4-bin.zip,8cc27038d5dbd815759851ba53e70cf62e481b87494cc97cfd97982ada5ba634,575098db54a998ff1c6770b352c3b16766c09848bee7555dab09afc34e8cf590,f27d7133,4c6b9dc9
7.4-rc-2,https://services.gradle.org/distributions/gradle-7.4-rc-1-bin.zip,b2a452bc37637aa453f0f3fb526240caed02878c47a9736f3059590605893bdb,575098db54a998ff1c6770b352c3b16766c09848bee7555dab09afc34e8cf590,f27d7133,4c6b9dc9
7.4-rc-1,https://services.gradle.org/distributions/gradle-7.4-rc-1-bin.zip,b2a452bc37637aa453f0f3fb526240caed02878c47a9736f3059590605893bdb,575098db54a998ff1c6770b352c3b16766c09848bee7555dab09afc34e8cf590,f27d7133,4c6b9dc9
7.3.3,https://services.gradle.org/distributions/gradle-7.3.3-bin.zip,b586e04868a22fd817c8971330fec37e298f3242eb85c374181b12d637f80302,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
7.3.3-rc-1,https://services.gradle.org/distributions/gradle-7.3.3-rc-1-bin.zip,07a1cd283d6cfe437eb08fe08936dc1af5f12946e67dc9f5e0a9f4b948ebfd3a,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,f27d7133,4c6b9dc9
