ecosystem,packageName,name,displayName,description,recipeCount,category1,options
maven,org.openrewrite:rewrite-csharp,org.openrewrite.csharp.AddNuGetPackageReference,Add NuGet package reference,Adds a `<PackageReference>` element to .csproj files if not already present.,1,Csharp,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The NuGet package name to add."",""example"":""Newtonsoft.Json"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The package version to add. If omitted, no Version attribute is set (useful when versions are managed centrally via Directory.Packages.props)."",""example"":""13.0.3""}]"
maven,org.openrewrite:rewrite-csharp,org.openrewrite.csharp.FindNuGetPackageReference,Find NuGet package reference,Searches for .csproj files that reference a specific NuGet package. Intended for use as a precondition to scope other recipes.,1,Csharp,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The NuGet package name to search for. Supports glob patterns (e.g., `Swashbuckle.*`)."",""example"":""Swashbuckle.AspNetCore"",""required"":true}]"
maven,org.openrewrite:rewrite-csharp,org.openrewrite.csharp.ChangeDotNetTargetFramework,Change .NET target framework,"Changes the `<TargetFramework>` or `<TargetFrameworks>` value in .csproj files. For multi-TFM projects, replaces the matching framework within the semicolon-delimited list.",1,Csharp,"[{""name"":""oldTargetFramework"",""type"":""String"",""displayName"":""Old target framework"",""description"":""The target framework moniker to replace (e.g., net8.0)."",""example"":""net8.0"",""required"":true},{""name"":""newTargetFramework"",""type"":""String"",""displayName"":""New target framework"",""description"":""The target framework moniker to use instead (e.g., net9.0)."",""example"":""net9.0"",""required"":true}]"
maven,org.openrewrite:rewrite-csharp,org.openrewrite.csharp.RemoveNuGetPackageReference,Remove NuGet package reference,Removes a `<PackageReference>` element from .csproj files.,1,Csharp,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The NuGet package name to remove. Supports glob patterns."",""example"":""Newtonsoft.Json"",""required"":true}]"
maven,org.openrewrite:rewrite-csharp,org.openrewrite.csharp.UpgradeNuGetPackageVersion,Upgrade NuGet package version,Upgrades the version of a NuGet `<PackageReference>` or `<PackageVersion>` in .csproj and Directory.Packages.props files. Handles property references by updating the property value instead of the version attribute. Supports semver version selectors.,1,Csharp,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The NuGet package name to upgrade. Supports glob patterns."",""example"":""Newtonsoft.Json"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""An exact version number or node-style semver selector used to select the version number. You can also use `latest.release` for the latest available version and `latest.patch` if the current version is a valid semantic version. For more details, you can look at the documentation page of [version selectors](https://docs.openrewrite.org/reference/dependency-version-selectors)."",""example"":""latest.release"",""required"":true},{""name"":""versionPattern"",""type"":""String"",""displayName"":""Version pattern"",""description"":""Allows version selection to be extended beyond the original Node Semver semantics. So for example, setting 'newVersion' to \""25-29\"" can be paired with a metadata pattern of \""-jre\"" to select version 29.0-jre."",""example"":""-jre""}]"
