Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
com.fasterxml.jackson.module:jackson-module-parameter-names:2.21.2,com.fasterxml.jackson.module,,ParameterNamesModule,1,
io.moderne:jsonrpc:1.1.0-SNAPSHOT,io.moderne,,"JsonMessageFormatter, TraceMessageHandler, HeaderDelimitedMessageHandler, JsonRpc",1,
org.assertj:assertj-core:4.0.0-M1,org.assertj,,ThrowingExtractor,1,
org.openjdk.jmh:jmh-core:1.37,org.openjdk.jmh,,"Threads, Runner, OutputTimeUnit, BenchmarkMode, Fork, OptionsBuilder, Warmup, Measurement",1,
org.xerial.snappy:snappy-java:1.1.10.7,org.xerial.snappy,,Snappy,1,
org.openjdk.jol:jol-core:0.17,org.openjdk.jol,,GraphLayout,1,
io.github.fastfilter:fastfilter:1.0.2,io.github.fastfilter,,Bloom,1,
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.21.2,com.fasterxml.jackson.dataformat,,YAMLFactory,1,
com.univocity:univocity-parsers:2.9.1,com.univocity,,"CsvParserSettings, CsvWriterSettings, CsvWriter, CsvParser",1,
org.openrewrite.tools:jgit:1.4.2,org.openrewrite.tools,,"IgnoreNode.MatchResult, IgnoreNode, FastIgnoreRule",1,
org.yaml:snakeyaml:2.6,org.yaml,,"DumperOptions, DumperOptions.FlowStyle, Yaml",1,
com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.21.2,com.fasterxml.jackson.dataformat,,"SmileGenerator.Feature, SmileFactory, SmileGenerator",1,
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.21.2,com.fasterxml.jackson.datatype,,JavaTimeModule,1,
org.openrewrite.tools:java-object-diff:1.0.1,org.openrewrite.tools,,"InclusionResolver, ObjectDiffer, ObjectDifferBuilder, DiffNode, Inclusion",1,
io.quarkus.gizmo:gizmo:1.0.11.Final,io.quarkus.gizmo,,"ClassCreator, DescriptorUtils, MethodDescriptor, MethodCreator, FieldCreator, ResultHandle",1,
net.java.dev.jna:jna-platform:5.18.1,net.java.dev.jna,,Kernel32Util,1,
net.java.dev.jna:jna:5.18.1,net.java.dev.jna,,"Library, Native, LastErrorException",1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.objenesis:objenesis:3.5,org.objenesis,,ObjenesisStd,1,
org.projectlombok:lombok:1.18.46,org.projectlombok,,"RequiredArgsConstructor, Getter",1,
com.fasterxml.jackson.core:jackson-databind:2.21.2,com.fasterxml.jackson.core,,"ObjectMapper, TypeFactory",1,
io.moderne:jsonrpc:1.1.0-SNAPSHOT,io.moderne,,JsonRpcMethod,1,
com.fasterxml.jackson.core:jackson-annotations:2.21,com.fasterxml.jackson.core,,"JsonProperty, JsonCreator",1,
org.openrewrite.tools:jgit:1.4.2,org.openrewrite.tools,,RawText,1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,Test,1,
