ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,options,dataTables
maven,org.openrewrite:rewrite-javascript,org.openrewrite.javascript.AddDependency,Add npm dependency,"Add an npm dependency to `package.json` and regenerate the lock file by running the package manager. If the dependency already exists in any scope, the recipe is a no-op. Not safe to use as a precondition: invokes the package manager and publishes per-project state shared with other dependency recipes.",1,,Javascript,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The name of the npm package to add (e.g., `lodash`, `@types/node`)."",""example"":""lodash"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version constraint to set (e.g., `^5.0.0`, `~2.1.0`, `3.0.0`)."",""example"":""^5.0.0"",""required"":true},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""The dependency scope: `dependencies`, `devDependencies`, `peerDependencies`, or `optionalDependencies`. Defaults to `dependencies`."",""example"":""dependencies"",""valid"":[""dependencies"",""devDependencies"",""peerDependencies"",""optionalDependencies""]}]",
maven,org.openrewrite:rewrite-javascript,org.openrewrite.javascript.ChangeDependency,Change npm dependency,"Renames an npm dependency in `package.json` and optionally updates its version constraint. After modifying the package.json, the lock file is regenerated by running the package manager. Not safe to use as a precondition: invokes the package manager and publishes per-project state shared with other dependency recipes.",1,,Javascript,"[{""name"":""oldPackageName"",""type"":""String"",""displayName"":""Old package name"",""description"":""The current name of the npm package to rename."",""example"":""lodash"",""required"":true},{""name"":""newPackageName"",""type"":""String"",""displayName"":""New package name"",""description"":""The new name to use for the package."",""example"":""lodash-es"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""Optional new version constraint to set on the renamed package."",""example"":""^5.0.0""},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""The dependency scope: `dependencies`, `devDependencies`, etc. When omitted, all scopes are searched."",""example"":""dependencies"",""valid"":[""dependencies"",""devDependencies"",""peerDependencies"",""optionalDependencies"",""bundledDependencies""]}]",
maven,org.openrewrite:rewrite-javascript,org.openrewrite.javascript.RemoveDependency,Remove npm dependency,"Remove an npm dependency from `package.json` and regenerate the lock file. If the dependency does not exist in any scope, the recipe is a no-op.",1,,Javascript,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The name of the npm package to remove (e.g., `lodash`, `@types/node`)."",""example"":""lodash"",""required"":true},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""The dependency scope to remove from: `dependencies`, `devDependencies`, `peerDependencies`, `optionalDependencies`, or `bundledDependencies`. If not specified, removes from all scopes."",""example"":""dependencies"",""valid"":[""dependencies"",""devDependencies"",""peerDependencies"",""optionalDependencies"",""bundledDependencies""]}]",
maven,org.openrewrite:rewrite-javascript,org.openrewrite.javascript.UpgradeDependencyVersion,Upgrade npm dependency version,Upgrades the version constraint of matching npm dependencies in `package.json` and regenerates the lock file by running the package manager. Matching is by exact package name or glob pattern. v1 uses simple string inequality for the upgrade check (always overwrites). A future version will use semver to skip already-up-to-date constraints. Not safe to use as a precondition: invokes the package manager and publishes per-project state shared with other dependency recipes.,1,,Javascript,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""Exact package name to match. Mutually exclusive with `packagePattern`; at least one is required."",""example"":""lodash""},{""name"":""packagePattern"",""type"":""String"",""displayName"":""Package pattern"",""description"":""Glob pattern matching package names (e.g., `@types/*`). Mutually exclusive with `packageName`; at least one is required."",""example"":""@types/*""},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""The new version constraint to set on matching dependencies."",""example"":""^5.0.0"",""required"":true}]",
maven,org.openrewrite:rewrite-javascript,org.openrewrite.javascript.UpgradeTransitiveDependencyVersion,Upgrade transitive npm dependency,"Pins or upgrades a transitive npm dependency by adding an override entry to `package.json` and regenerating the lock file. For npm and Bun, adds to the `overrides` field; for Yarn, adds to `resolutions`; for pnpm, adds to `pnpm.overrides`. The override is idempotent — if the entry already exists with the same version, no change is made. Not safe to use as a precondition: invokes the package manager and publishes per-project state shared with other dependency recipes.",1,,Javascript,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The name of the transitive npm dependency to upgrade."",""example"":""lodash"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""The version constraint to set on the override entry."",""example"":""^5.0.0"",""required"":true},{""name"":""dependencyPath"",""type"":""String"",""displayName"":""Dependency path"",""description"":""Optional dependency path (pnpm-style `a>b>c` or yarn-style `a/b/c`) to scope the override. When omitted, applies as a global override."",""example"":""express>accepts""}]",
maven,org.openrewrite:rewrite-javascript,org.openrewrite.javascript.search.DependencyInsight,Node.js dependency insight,Find direct and transitive npm dependencies matching a package name pattern. Results include dependencies that either directly match or transitively include a matching dependency.,1,Search,Javascript,"[{""name"":""packageNamePattern"",""type"":""String"",""displayName"":""Package name pattern"",""description"":""A glob pattern to match npm package names. Use `*` as a wildcard."",""example"":""@types/*"",""required"":true},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""Match dependencies in the specified scope. All scopes are searched by default."",""example"":""dependencies"",""valid"":[""dependencies"",""devDependencies"",""peerDependencies"",""optionalDependencies"",""bundledDependencies""]},{""name"":""onlyDirect"",""type"":""Boolean"",""displayName"":""Only direct"",""description"":""If enabled, transitive dependencies will not be considered. All dependencies are searched by default."",""example"":""true""}]","[{""name"":""org.openrewrite.javascript.table.NodeDependenciesInUse"",""displayName"":""Node.js dependencies in use"",""instanceName"":""Node.js dependencies in use"",""description"":""Direct and transitive dependencies in use in Node.js projects."",""columns"":[{""name"":""projectName"",""type"":""String"",""displayName"":""Project name"",""description"":""The name of the project that contains the dependency (from package.json).""},{""name"":""projectPath"",""type"":""String"",""displayName"":""Project path"",""description"":""The path to the project.""},{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The name of the npm package.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The resolved version of the package.""},{""name"":""versionConstraint"",""type"":""String"",""displayName"":""Version constraint"",""description"":""The version constraint as declared in package.json.""},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""Dependency scope: dependencies, devDependencies, peerDependencies, optionalDependencies, or bundledDependencies.""},{""name"":""direct"",""type"":""Boolean"",""displayName"":""Direct"",""description"":""Whether this is a direct dependency (true) or transitive dependency (false).""},{""name"":""count"",""type"":""Integer"",""displayName"":""Count"",""description"":""How many times this dependency appears in the dependency tree.""},{""name"":""license"",""type"":""String"",""displayName"":""License"",""description"":""The SPDX license identifier of the package, if available.""}]}]"
