ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,options,dataTables
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangeDependencyScope,Change Maven dependency scope,Add or alter the scope of the specified dependency.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of a dependency coordinate `com.google.guava:guava:VERSION`."",""example"":""com.google.guava"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a dependency coordinate `com.google.guava:guava:VERSION`."",""example"":""guava"",""required"":true},{""name"":""newScope"",""type"":""String"",""displayName"":""New scope"",""description"":""Scope to apply to specified Maven dependency. May be omitted, which indicates that no scope should be added and any existing scope be removed from the dependency."",""example"":""compile"",""valid"":[""compile"",""test"",""runtime"",""provided""]}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangeExclusion,Change Maven dependency exclusion,"Modify Maven dependency exclusions, changing the group ID, artifact Id, or both. Useful when an excluded dependency has been renamed and references to it must be updated.",1,,Maven,Openrewrite,Org,"[{""name"":""oldGroupId"",""type"":""String"",""displayName"":""Old groupId"",""description"":""The old groupId to replace. Supports glob expressions."",""example"":""org.springframework"",""required"":true},{""name"":""oldArtifactId"",""type"":""String"",""displayName"":""Old artifactId"",""description"":""The old artifactId to replace. Supports glob expressions."",""example"":""spring-web*"",""required"":true},{""name"":""newGroupId"",""type"":""String"",""displayName"":""New groupId"",""description"":""The new groupId to use. Defaults to the existing group id."",""example"":""org.springframework.boot""},{""name"":""newArtifactId"",""type"":""String"",""displayName"":""New artifactId"",""description"":""The new artifactId to use. Defaults to the existing artifact id."",""example"":""spring-boot-starter-web""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId,"Change Maven managed dependency groupId, artifactId and optionally the version","Change the groupId, artifactId and optionally the version of a specified Maven managed dependency.",1,,Maven,Openrewrite,Org,"[{""name"":""oldGroupId"",""type"":""String"",""displayName"":""Old groupId"",""description"":""The old groupId to replace. The groupId is the first part of a managed dependency coordinate `com.google.guava:guava:VERSION`. Supports glob expressions."",""example"":""org.openrewrite.recipe"",""required"":true},{""name"":""oldArtifactId"",""type"":""String"",""displayName"":""Old artifactId"",""description"":""The old artifactId to replace. The artifactId is the second part of a managed dependency coordinate `com.google.guava:guava:VERSION`. Supports glob expressions."",""example"":""rewrite-testing-frameworks"",""required"":true},{""name"":""newGroupId"",""type"":""String"",""displayName"":""New groupId"",""description"":""The new groupId to use."",""example"":""corp.internal.openrewrite.recipe"",""required"":true},{""name"":""newArtifactId"",""type"":""String"",""displayName"":""New artifactId"",""description"":""The new artifactId to use."",""example"":""rewrite-testing-frameworks"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""The new version to use."",""example"":""2.0.0""},{""name"":""versionPattern"",""type"":""String"",""displayName"":""Version pattern"",""description"":""Allows version selection to be extended beyond the original Node Semver semantics. So for example,Setting 'version' to \""25-29\"" can be paired with a metadata pattern of \""-jre\"" to select Guava 29.0-jre"",""example"":""-jre""}]","[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangePackaging,Set Maven project packaging,Sets the packaging type of Maven projects. Either adds the packaging tag if it is missing or changes its context if present.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The groupId of the project whose packaging should be changed. Accepts glob patterns."",""example"":""org.openrewrite.*"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Group"",""description"":""The artifactId of the project whose packaging should be changed. Accepts glob patterns."",""example"":""rewrite-*"",""required"":true},{""name"":""packaging"",""type"":""String"",""displayName"":""Packaging"",""description"":""The type of packaging to set. If `null` specified the packaging tag will be removed"",""example"":""jar"",""required"":true},{""name"":""oldPackaging"",""type"":""String"",""displayName"":""Old Packaging"",""description"":""The old packaging type. If provided, will only change if the current packaging matches"",""example"":""jar""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangePluginConfiguration,Change Maven plugin configuration,Apply the specified configuration to a Maven plugin. Will not add the plugin if it does not already exist in the pom.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of the coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION' of the plugin to modify."",""example"":""org.openrewrite.maven"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION' of the plugin to modify."",""example"":""rewrite-maven-plugin"",""required"":true},{""name"":""configuration"",""type"":""String"",""displayName"":""Configuration"",""description"":""Plugin configuration provided as raw XML overriding any existing configuration. Configuration inside `<executions>` blocks will not be altered. Supplying `null` will remove any existing configuration."",""example"":""<foo>bar</foo>""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangePluginDependencies,Change Maven plugin dependencies,Applies the specified dependencies to a Maven plugin. Will not add the plugin if it does not already exist in the pom.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of a dependency coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION'."",""example"":""org.openrewrite.maven"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a dependency coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION'."",""example"":""rewrite-maven-plugin"",""required"":true},{""name"":""dependencies"",""type"":""String"",""displayName"":""Dependencies"",""description"":""Plugin dependencies provided as dependency coordinates of format \""groupId:artifactId:version\"". When supplying multiple coordinates separate them with \"",\"". Supplying `null` will remove any existing plugin dependencies."",""example"":""org.openrewrite.recipe:rewrite-spring:1.0.0, org.openrewrite.recipe:rewrite-testing-frameworks:1.0.0""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangePluginExecutions,Change Maven plugin executions,Apply the specified executions to a Maven plugin. Will not add the plugin if it does not already exist in the pom.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of a dependency coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION'."",""example"":""org.openrewrite.maven"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a dependency coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION'."",""example"":""rewrite-maven-plugin"",""required"":true},{""name"":""executions"",""type"":""String"",""displayName"":""Executions"",""description"":""Plugin goal executions provided as raw XML. Supplying `null` will remove any existing executions."",""example"":""<execution><phase>validate</phase><goals><goal>dryRun</goal></goals></execution>""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangePluginGroupIdAndArtifactId,Change Maven plugin group and artifact ID,Change the groupId and/or the artifactId of a specified Maven plugin. Optionally update the plugin version. This recipe does not perform any validation and assumes all values passed are valid.,1,,Maven,Openrewrite,Org,"[{""name"":""oldGroupId"",""type"":""String"",""displayName"":""Old group ID"",""description"":""The old group ID to replace. The group ID is the first part of a plugin coordinate 'com.google.guava:guava:VERSION'. Supports glob expressions."",""example"":""org.openrewrite.recipe"",""required"":true},{""name"":""oldArtifactId"",""type"":""String"",""displayName"":""Old artifact ID"",""description"":""The old artifactId to replace. The artifact ID is the second part of a plugin coordinate 'com.google.guava:guava:VERSION'. Supports glob expressions."",""example"":""my-deprecated-maven-plugin"",""required"":true},{""name"":""newGroupId"",""type"":""String"",""displayName"":""New group ID"",""description"":""The new group ID to use."",""example"":""corp.internal.openrewrite.recipe""},{""name"":""newArtifactId"",""type"":""String"",""displayName"":""New artifact ID"",""description"":""The new artifact ID to use."",""example"":""my-new-maven-plugin""},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""An exact version number."",""example"":""29.0""}]","[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangeProjectVersion,Change Maven Project Version,"Change the project version of a Maven pom.xml. Identifies the project to be changed by its groupId and artifactId. If the version is defined as a property, this recipe will only change the property value if the property exists within the same pom.",1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The group ID of the maven project to change its version. This can be a glob expression."",""example"":""org.openrewrite"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The artifact ID of the maven project to change its version. This can be a glob expression."",""example"":""*"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""The new version to replace the maven project version."",""example"":""8.4.2"",""required"":true},{""name"":""overrideParentVersion"",""type"":""Boolean"",""displayName"":""Override Parent Version"",""description"":""This flag can be set to explicitly override the inherited parent version. Default `false`.""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangePropertyValue,Change Maven project property value,Changes the specified Maven project property value leaving the key intact.,1,,Maven,Openrewrite,Org,"[{""name"":""key"",""type"":""String"",""displayName"":""Key"",""description"":""The name of the property key whose value is to be changed."",""example"":""junit.version"",""required"":true},{""name"":""newValue"",""type"":""String"",""displayName"":""Value"",""description"":""Value to apply to the matching property."",""example"":""4.13"",""required"":true},{""name"":""addIfMissing"",""type"":""Boolean"",""displayName"":""Add if missing"",""description"":""Add the property if it is missing from the pom file.""},{""name"":""trustParent"",""type"":""Boolean"",""displayName"":""Trust parent POM"",""description"":""Even if the parent defines a property with the same key, trust it even if the value isn't the same. Useful when you want to wait for the parent to have its value changed first. The parent is not trusted by default.""}]",
